"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","HU","TKL ALL","Runs"
"","204092","","449985","","Antonio Wilson","KANSAS","76","T","10","1","0","0","0","6"
"","204134","","449686","","Cameron Gorin","LOUISVILLE","75","T","27","1","0","0","0","15"
"","204143","","456017","","Ty Haywood","MICHIGAN","79","T","6","1","0","0","0","6"
"","204236","","453260","","Zac Stascausky","OREGON","57","T","4","1","0","0","0","2"
"","204262","","467635","","Torian Chester","PITTSBURGH","68","C","7","1","0","0","2","6"
"","204308","","469189","","Matthew Hawn","SYRACUSE","74","G","1","1","0","0","1","1"
"","204331","","449489","","Tyler Thomas","TEXAS A&M","77","G","17","2","0","0","0","10"
"","204352","","450020","","Elias Gillen","TEXAS TECH","77","T","10","1","0","0","0","5"
"","204355","","450026","","Danilo Guberinich","TEXAS TECH","73","G","9","1","0","0","0","4"
"","204377","","417779","","Owen Spell","UCF","61","T","195","6","0","5","0","86"
"","204379","","466535","","Jacob Maiava","UCF","73","T","5","3","0","0","0","5"
"","204386","","454014","","Camp Lott","UCF","57","T","3","1","0","0","0","3"
"","204387","","454018","","RaiShaun McHaney","UCF","70","T","3","1","0","0","0","3"
"","204441","","453650","","Elliot Demaine","WAKE","67","T","32","3","0","1","2","18"
"","204454","","453659","","Aidan Martin","WAKE","72","T","34","3","2","0","0","19"
"","204865","","448948","","Dontrell Glover","GEORGIA","63","G","546","10","0","7","11","269"
"","204992","","455975","","Jayden Clark","KENTUCKY","79","G","18","3","0","0","0","11"
"","205068","","450669","","Connor Howes","OLE MISS","65","G","18","2","0","0","0","14"
"","205087","","450663","","Devin Harper","OLE MISS","70","T","62","5","0","0","3","43"
"","205094","","455962","","Breyden Turnage","MISS STATE","70","T","1","1","0","0","0","1"
"","205237","","449488","","Eidan Buchanan","N CAROLINA","72","T","62","3","0","1","4","37"
"","205325","","453496","","Isaiah Kema","OHIO STATE","56","C","25","3","0","0","1","19"
"","205357","","387737","","Justin Cesaire","RUTGERS","79","T","23","1","0","0","0","12"
"","205403","","458944","","Jordan Coleman","TEXAS","78","T","11","1","0","0","0","7"
"","205503","","456203","","Gavin Crawford","VA TECH","71","G","108","2","0","3","4","43"
"","207807","","0","","Pape Abdoulaye Sy","BOSTON COL","75","T","89","3","2","4","0","24"
"","207828","","449381","","DJ Williams","BOSTON COL","50","G","1","1","0","0","0","1"
"","207829","","456007","","Robert Smith IV","BOSTON COL","55","G","411","7","2","7","5","148"
"","208849","","453408","","Charlie Powell III","TENNESSEE","59","T","8","2","0","0","0","6"
