"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","INT","CTGT"
"","144029","","361484","","Javon McIntyre","PITTSBURGH","07","S","443","9","34","0","6","1","29"
"","144040","","365753","","Duce Chestnut","SYRACUSE","02","S","403","9","49","1","9","0","17"
"","144106","","362862","","Jalen Stroman","NOTRE DAME","07","S","180","7","23","0","2","0","8"
"","144238","","386706","","Armorion Smith","MICH STATE","19","S","344","9","25","0","13","1","18"
"","144373","","363180","","Isaiah Nwokobia","SMU","23","S","657","9","89","1","16","3","43"
"","144393","","362020","","Jalen McMurray","TENNESSEE","06","S","387","9","45","3","3","0","38"
"","144577","","368479","","Landon Nelson","KANSAS","31","S","7","2","2","0","0","0","0"
"","144605","","362446","","Omar Daniels","GA TECH","09","S","451","9","37","1","12","1","16"
"","144661","","383575","","Lyrik Rawls","KANSAS","02","S","506","9","57","1","8","1","27"
"","144662","","368874","","Raymond Gay II","OKLA STATE","27","S","115","4","11","0","1","0","7"
"","144668","","383573","","Kendal Daniels","OKLAHOMA","05","S","356","9","28","9","7","0","20"
"","144732","","387220","","Michael Taaffe","TEXAS","16","S","404","7","49","0","2","1","10"
"","144809","","382731","","Miles Scott","ILLINOIS","10","S","537","9","43","2","5","0","14"
"","144932","","368563","","Rod Moore","MICHIGAN","19","S","85","3","9","0","2","1","3"
"","144982","","386159","","Darius Green","MINNESOTA","12","S","259","8","18","2","3","0","16"
"","145012","","359472","","Marques Buford Jr.","NEBRASKA","03","S","181","9","16","0","0","0","8"
"","145019","","415728","","Derek Branch","NEBRASKA","24","S","7","2","0","0","0","0","0"
"","145046","","361949","","Garner Wallace","NWESTERN","18","S","336","8","29","0","7","0","13"
"","145072","","377197","","Andre Turrentine","TENNESSEE","02","S","576","9","43","0","7","1","20"
"","145099","","362831","","Zakee Wheatley","PENN STATE","06","S","416","8","65","1","7","1","12"
"","145199","","362906","","Jayden Williams","UCF","23","S","84","2","8","0","3","0","1"
"","145309","","363527","","Jakobe Thomas","MIAMI FL","08","S","397","8","36","1","11","1","28"
"","145366","","368314","","Tahj Ra-El","PURDUE","21","S","571","9","85","3","11","0","23"
"","145579","","377268","","Xavier Williams","CINCINNATI","36","S","169","9","26","0","2","0","9"
"","145611","","386064","","Darrian Lewis","W VIRGINIA","24","S","376","9","56","0","11","2","33"
"","145764","","362058","","Quentavius Scandrett","ARKANSAS","08","S","23","2","2","0","0","0","0"
"","146097","","367863","","Richard Toney Jr.","PURDUE","43","S","18","3","3","0","0","0","0"
"","146252","","362986","","Dalton Johnson","ARIZONA","43","S","504","8","62","0","9","2","27"
"","146255","","362997","","Isaiah Taylor","MIAMI FL","28","S","43","4","6","3","2","0","2"
"","146375","","373081","","Mitch Leigber","STANFORD","32","S","390","8","30","2","9","0","18"
"","146420","","364264","","Anthony Beavers Jr.","USC","15","S","7","1","1","0","0","0","0"
"","146606","","366865","","Brylan Lanier","MISS STATE","03","S","458","9","41","0","7","3","33"
"","146745","","361691","","Jordan Lovett","KENTUCKY","25","S","478","8","41","3","10","2","19"
"","146776","","380403","","Sage Ryan","OLE MISS","03","S","409","9","28","0","5","0","30"
"","146944","","362923","","Christian Charles","VIRGINIA","04","S","243","9","34","1","6","0","8"
"","146968","","376759","","Marlen Sewell","VANDERBILT","07","S","323","9","32","0","4","0","12"
"","146997","","373395","","Jardin Gilbert","LSU","02","S","48","3","4","0","3","0","2"
"","147474","","368837","","Lorenzo Styles Jr.","OHIO STATE","03","S","229","6","16","1","2","0","18"
"","147503","","363004","","Talan Alfrey","BYU","25","S","41","5","6","1","0","0","4"
"","147534","","363038","","Tanner Wall","BYU","28","S","455","8","36","1","7","3","6"
"","150298","","386463","","Caleb Weaver","DUKE","03","S","425","8","60","3","13","1","17"
"","150315","","369170","","Derek Carter Jr.","W VIRGINIA","13","S","240","8","26","2","4","1","17"
"","154599","","391475","","Ben Finneseth","COLORADO","28","S","251","6","23","0","2","0","1"
"","155781","","372230","","Montrell Bandy","TENNESSEE","37","S","14","2","1","0","0","0","0"
"","155951","","387736","","Dru Polidore Jr.","CAL","02","S","357","7","44","2","3","0","21"
"","155978","","384483","","Parker Robertson","OKLA STATE","08","S","391","9","57","4","17","1","18"
"","156244","","393312","","Kylon Griffin","CLEMSON","18","S","49","6","3","0","0","0","1"
"","156276","","400134","","Christian White","FLORIDA ST","37","S","51","3","6","0","1","0","2"
"","156305","","388512","","Clayton Powell-Lee","GA TECH","05","S","492","9","60","0","12","1","26"
"","156310","","400017","","D.J. Moore","GA TECH","22","S","19","1","3","0","0","0","2"
"","156316","","395948","","D'Angelo Hutchinson","LOUISVILLE","21","S","446","8","53","1","10","1","27"
