"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","ATT","YCO","RB YCO/ATT","10+ RUSH","MTF RUN"
"","172443","","406217","","Jeremiah Cobb","AUBURN","23","HB","413","9","137","444","3.2","16","24"
"","172483","","407528","","Kaleb Jackson","LSU","28","HB","35","4","7","17","2.4","1","2"
"","172525","","407513","","Kedrick Reescano","ARIZONA","03","HB","107","5","42","154","3.7","5","10"
"","172539","","407817","","Seth Davis","MISS STATE","23","HB","8","2","5","12","2.4","1","0"
"","172590","","407310","","Rueben Owens II","TEXAS A&M","04","HB","227","8","78","254","3.3","11","11"
"","172605","","406097","","Sedrick Alexander","VANDERBILT","28","HB","351","9","79","246","3.1","8","16"
"","172623","","423504","","AJ Newberry","VANDERBILT","23","HB","64","8","16","29","1.8","1","1"
"","173029","","429596","","Manny Covey","CINCINNATI","29","HB","34","5","16","45","2.8","4","5"
"","173087","","428857","","Johnny Thompson Jr.","KANSAS","20","HB","34","3","19","38","2.0","0","2"
"","173106","","407404","","Joe Jackson","KANSAS ST","04","HB","383","9","106","265","2.5","11","11"
"","173153","","406881","","CJ Baxter","TEXAS","04","HB","100","5","41","106","2.6","4","5"
"","173192","","412667","","Jahiem White","W VIRGINIA","01","HB","62","2","25","121","4.8","4","10"
"","173422","","406404","","Darius Taylor","MINNESOTA","01","HB","188","6","82","275","3.4","7","15"
"","173701","","407074","","Kalib Hicks","OKLA STATE","01","HB","73","7","45","110","2.4","2","5"
"","173719","","407313","","Hollywood Smothers","NC STATE","03","HB","357","8","124","539","4.3","22","38"
"","173979","","415631","","Troy Leigber","UCLA","32","HB","1","1","1","2","2.0","0","0"
"","174024","","411895","","Kaden Feagin","ILLINOIS","03","HB","301","9","98","263","2.7","6","11"
"","174038","","406265","","Benjamin Hall","N CAROLINA","28","HB","110","7","50","135","2.7","7","8"
"","174095","","423313","","Brandon High Jr.","CAL","05","HB","57","5","23","70","3.0","3","2"
"","174130","","406604","","Jayden Limar","OREGON","27","HB","144","6","42","160","3.8","6","11"
"","174131","","406547","","Dante Dowdell","KENTUCKY","02","HB","203","8","85","205","2.4","5","5"
"","174248","","428351","","Ja'Kobi Jackson","FLORIDA","24","HB","70","4","30","96","3.2","2","10"
"","174262","","448174","","Anthony Rubio","FLORIDA","25","HB","10","1","5","13","2.6","1","1"
"","174313","","425483","","Sesi Vailahi","OKLA STATE","03","HB","92","6","34","71","2.1","3","3"
"","174409","","428413","","CharMar Brown","MIAMI FL","06","HB","182","8","76","213","2.8","4","15"
"","174649","","412344","","Bryson Washington","BAYLOR","07","HB","358","9","130","421","3.2","16","23"
"","174669","","407639","","Carson Hansen","IOWA STATE","26","HB","306","8","114","378","3.3","15","17"
"","174686","","407667","","Abu Sama III","IOWA STATE","24","HB","239","9","105","388","3.7","17","37"
"","174695","","411204","","Keyjuan Brown","LOUISVILLE","22","HB","175","7","54","209","3.9","8","15"
"","174717","","429191","","DeSean Bishop","TENNESSEE","18","HB","284","9","103","388","3.8","16","19"
"","174754","","406830","","Davon Booth","MISS STATE","06","HB","329","9","116","343","3.0","18","20"
"","174777","","423085","","Jeremiah Coney","VA TECH","04","HB","42","5","9","39","4.3","2","4"
"","174823","","451403","","Tyler Jacklich","W VIRGINIA","28","HB","28","3","8","18","2.3","2","1"
"","175021","","450491","","Lucky Finau","BYU","41","HB","10","1","8","17","2.1","0","0"
"","175035","","407340","","LJ Martin","BYU","04","HB","408","8","137","562","4.1","23","38"
"","175337","","423285","","Anthony Ferrucci","BOSTON COL","33","HB","7","1","4","10","2.5","0","0"
"","175374","","406473","","Mark Fletcher Jr.","MIAMI FL","04","HB","323","8","126","431","3.4","19","37"
"","175378","","414633","","Chris Johnson Jr.","SMU","06","HB","136","9","48","109","2.3","10","11"
"","175443","","434111","","Noah Vaughn","VIRGINIA","28","HB","34","4","23","113","4.9","4","5"
"","175877","","406471","","Richard Young","ALABAMA","09","HB","51","3","19","40","2.1","0","1"
"","175912","","421204","","Jamal Roberts","MISSOURI","20","HB","277","8","66","261","4.0","9","19"
"","175999","","429106","","Darius Johnson","NC STATE","25","HB","26","8","3","11","3.7","0","0"
"","176000","","446332","","Coleson Fields","NC STATE","31","HB","16","2","6","13","2.2","0","0"
"","176026","","439361","","Tyler Chandler","SYRACUSE","31","HB","1","1","1","2","2.0","0","0"
"","176028","","431651","","Max Runyon","SYRACUSE","38","FB","5","3","1","3","3.0","0","1"
"","176190","","406910","","Quintrevion Wisner","TEXAS","05","HB","283","6","93","282","3.0","5","24"
"","176252","","431385","","Bryson Kuzdzal","MICHIGAN","24","HB","20","3","10","34","3.4","1","4"
"","176482","","406861","","Rahsul Faison","S CAROLINA","01","HB","298","9","81","230","2.8","11","19"
"","176513","","406807","","Caleb Komolafe","NWESTERN","05","HB","238","8","127","392","3.1","13","21"
"","176525","","406787","","Kyson Brown","ARIZONA ST","01","HB","74","4","19","50","2.6","3","4"
"","176552","","453805","","Dean-Taylor Chapman","CAL","33","HB","2","1","1","2","2.0","0","0"
"","176564","","407866","","Jaivian Thomas","UCLA","21","HB","137","8","63","187","3.0","8","11"
"","176615","","423546","","Champ Hampton","STANFORD","34","HB","33","2","6","29","4.8","0","2"
"","176618","","406584","","Sedrick Irvin","STANFORD","26","HB","135","9","27","52","1.9","2","1"
"","177483","","418538","","Malachi Hosley","GA TECH","00","HB","257","9","67","319","4.8","15","18"
"","179059","","405950","","Jawarn Howell","S CAROLINA","22","HB","9","1","7","25","3.6","0","2"
"","182718","","429848","","Jaxon Panariello","LOUISVILLE","37","FB","41","7","0","0","0","0","0"
"","183196","","431623","","David Eziomume","CLEMSON","24","HB","43","7","10","21","2.1","1","1"
"","183219","","434078","","Trelain Maddox","GA TECH","22","HB","32","4","8","27","3.4","0","1"
"","183246","","431873","","Chris Wheatley-Humphrey","MIAMI FL","25","HB","26","2","14","42","3.0","2","7"
"","183251","","428658","","Zach Hernandez","SMU","29","HB","3","1","2","6","3.0","0","1"
"","183252","","428670","","Derrick McFall","SMU","00","HB","114","9","22","40","1.8","1","4"
"","183271","","447471","","Juelz Goff","PITTSBURGH","08","HB","216","9","57","148","2.6","4","12"
"","183297","","428178","","Kam Davis","FLORIDA ST","03","HB","24","2","6","26","4.3","2","1"
"","183312","","429771","","Isaac Brown","LOUISVILLE","01","HB","256","8","95","473","5.0","19","43"
"","183328","","428362","","Davion Gause","N CAROLINA","37","HB","126","8","40","116","2.9","6","6"
"","183347","","446441","","Jayden Scott","NC STATE","04","HB","228","9","73","260","3.6","11","25"
