"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","MT","PBU","INT","CTGT"
"","174708","","0","","Kevin Longstreet","USC","34","CB","77","4","6","0","3","0","12"
"","174724","","406942","","Rickey Gibson III","TENNESSEE","01","CB","19","1","2","1","0","0","2"
"","174735","","418211","","Jordan Matthews","VANDERBILT","06","CB","209","9","13","3","1","0","15"
"","174793","","407688","","Dante Lovett","VA TECH","01","CB","63","3","5","2","0","0","4"
"","174800","","429004","","Thomas Williams","VA TECH","23","CB","356","9","23","4","1","0","24"
"","174801","","426837","","Krystian Williams","VA TECH","04","CB","56","4","3","1","1","0","5"
"","174814","","408002","","Tyrecus Davis","COLORADO","09","CB","12","3","0","0","0","0","0"
"","174825","","408009","","Keany Parks","HOUSTON","19","CB","42","4","4","0","1","0","5"
"","175015","","443053","","Kevin Doe","BYU","31","CB","6","2","1","0","0","0","2"
"","175036","","407341","","Marcus McKenzie","BYU","32","CB","8","3","1","0","0","0","2"
"","175068","","407400","","Daiquan White","GA TECH","04","CB","255","9","18","1","3","0","18"
"","175097","","408331","","Andrew Marshall","NEBRASKA","10","CB","455","9","32","4","3","2","40"
"","175132","","416064","","Nasir Addison","KENTUCKY","21","CB","115","3","10","2","0","0","8"
"","175191","","415724","","Antione Jackson","UCF","07","CB","393","8","26","1","3","1","28"
"","175345","","418202","","Max Tucker","BOSTON COL","03","CB","281","9","18","4","1","1","32"
"","175365","","443965","","Will Kiker","GA TECH","39","CB","42","4","5","1","1","0","4"
"","175373","","406450","","Damari Brown","MIAMI FL","02","CB","206","8","11","1","1","0","9"
"","175386","","424772","","Robert Stafford III","UCLA","03","CB","207","6","12","2","2","0","11"
"","175389","","428335","","Ty Adams","N CAROLINA","11","CB","25","4","0","0","0","0","2"
"","175392","","407501","","Kaleb Cost","N CAROLINA","21","CB","328","8","35","5","4","2","36"
"","175402","","456288","","Reggie Love II","N CAROLINA","19","CB","15","1","0","0","1","0","2"
"","175403","","415692","","Tre Miller","N CAROLINA","15","CB","81","6","6","1","0","0","8"
"","175416","","436551","","Shadarian Harrison","PITTSBURGH","21","CB","369","8","23","4","1","1","30"
"","175447","","428629","","Ricardo Cooper Jr.","MARYLAND","25","CB","10","2","0","0","0","1","1"
"","175503","","419417","","Sage Clawges","RUTGERS","27","CB","20","3","3","1","0","0","2"
"","175720","","407171","","Michael Coats Jr.","W VIRGINIA","03","CB","363","9","24","4","5","0","24"
"","175896","","407827","","Kelley Jones","MISS STATE","01","CB","448","9","22","2","8","2","36"
"","175900","","412699","","Nick DeLoach Jr.","MISSOURI","24","CB","33","3","3","0","1","0","4"
"","175907","","426793","","Shamar McNeil","MISSOURI","26","CB","27","2","2","0","0","0","5"
"","175930","","407629","","Vicari Swain","S CAROLINA","04","CB","349","9","26","4","4","0","31"
"","175941","","407321","","Bravion Rogers","TEXAS A&M","19","CB","49","2","4","0","1","0","5"
"","175969","","408022","","Jaheim Clarke","ILLINOIS","06","CB","328","5","22","7","2","0","38"
"","175991","","423259","","Jordan Shaw","TEXAS A&M","08","CB","109","6","11","3","0","0","11"
"","176008","","427731","","Michael Tate","NC STATE","32","CB","22","2","0","1","0","0","1"
"","176009","","463621","","Daemon Fagan","NC STATE","20","CB","10","1","1","0","0","0","1"
"","176063","","424494","","Travon West","WAKE","27","CB","279","8","18","3","0","0","26"
"","176184","","426744","","Warren Roberson","TEXAS","24","CB","78","7","3","1","0","0","4"
"","176213","","406323","","DJ Waller Jr.","KENTUCKY","05","CB","28","1","1","0","0","0","3"
"","176403","","421134","","Andre Jordan Jr.","UCLA","02","CB","316","8","15","4","4","0","30"
"","176509","","419521","","Josh Fussell","NWESTERN","13","CB","222","6","9","3","5","0","19"
"","176586","","406518","","Daylen Austin","OREGON","00","CB","85","7","5","0","1","1","11"
"","176596","","406631","","Rodrick Pleasant","UCLA","18","CB","519","8","36","8","8","0","49"
"","176624","","418223","","Aaron Morris","STANFORD","31","CB","124","3","7","1","1","0","16"
"","176625","","412402","","Che Ojarikre","STANFORD","22","CB","363","9","20","3","1","0","27"
"","176662","","406516","","Smith Snowden","UTAH","02","CB","402","9","22","9","6","1","39"
"","176686","","415820","","Ethan O'Connor","MIAMI FL","24","CB","280","8","8","2","1","0","11"
"","177049","","406582","","Ja'Son Prevard","VIRGINIA","10","CB","446","9","21","2","1","3","26"
"","177087","","411285","","Jaylen Bowden","MINNESOTA","05","CB","21","3","3","0","0","0","4"
"","177128","","408751","","Teon Parks","COLORADO","03","CB","219","7","11","5","0","0","15"
"","177397","","408239","","Sterling Smith","PURDUE","03","CB","1","1","0","0","0","0","0"
"","178094","","424634","","Zach Kelly","BOSTON COL","39","CB","3","1","0","0","0","0","1"
"","182310","","407365","","Daniel Harris","GEORGIA","07","CB","102","3","3","2","0","0","8"
"","182912","","427757","","Chris Peal","SYRACUSE","16","CB","520","9","39","3","3","0","46"
"","183056","","426848","","Jacoby Davis","KANSAS","47","CB","6","1","0","0","0","0","0"
"","183195","","436387","","Noah Dixon","CLEMSON","27","CB","10","1","1","0","0","0","2"
"","183197","","431624","","Tavoy Feagin","OLE MISS","21","CB","1","1","0","0","0","0","0"
"","183198","","428316","","Corian Gipson","CLEMSON","12","CB","50","4","1","2","1","0","3"
"","183264","","429996","","Ja'ir Smith","CAL","06","CB","54","5","3","2","1","0","4"
"","183273","","449568","","Nigel Maynard","PITTSBURGH","27","CB","6","2","0","0","0","0","0"
"","183279","","431564","","Cam Richardson","STANFORD","08","CB","63","4","8","3","0","0","3"
"","183282","","446892","","Keke Adams","VIRGINIA","21","CB","26","2","1","1","0","0","4"
"","183287","","446893","","Kevon Gray","VIRGINIA","03","CB","10","1","1","0","0","0","0"
"","183296","","439356","","Cai Bates","FLORIDA ST","14","CB","26","2","1","1","0","0","2"
"","183301","","453275","","Jamari Howard","FLORIDA ST","18","CB","9","2","1","1","1","0","1"
"","183306","","439357","","Charles Lester III","FLORIDA ST","04","CB","56","5","6","0","0","0","5"
"","183325","","449497","","Khalil Conley","N CAROLINA","26","CB","43","6","1","1","0","0","5"
"","183326","","428348","","Zion Ferguson","PITTSBURGH","22","CB","24","4","2","0","0","0","2"
"","183336","","428397","","Jaiden Patterson","N CAROLINA","18","CB","283","8","24","4","4","1","22"
"","183342","","434225","","Jalon Thompson","N CAROLINA","20","CB","90","8","4","0","2","0","7"
"","183344","","431803","","Ty White","N CAROLINA","00","CB","36","4","2","0","0","0","5"
"","183383","","443093","","Devin Cook","WAKE","15","CB","9","2","0","0","0","0","1"
"","183394","","448822","","Sam Neely III","STANFORD","28","CB","32","1","2","1","0","0","3"
"","183504","","428267","","Tanner Heckel","ILLINOIS","16","CB","357","9","23","10","2","1","32"
"","183527","","436655","","Lloyd Irvin III","MARYLAND","15","CB","4","1","0","0","0","0","0"
"","183530","","428787","","Braydon Lee","MARYLAND","02","CB","191","7","9","0","0","1","14"
"","183533","","436656","","Mekhai White","MARYLAND","08","CB","2","2","0","0","0","0","0"
"","183535","","445710","","Dorian Davis","MICH STATE","38","CB","7","1","2","0","0","0","3"
"","183551","","429454","","Mario Buford","NEBRASKA","31","CB","4","1","0","0","0","0","0"
"","183564","","429489","","Donovan Jones","NEBRASKA","37","CB","430","9","33","7","3","1","29"
"","183575","","453576","","Preston Okafor","NEBRASKA","34","CB","1","1","0","0","0","0","0"
"","183578","","453589","","Kahmir Prescott","NEBRASKA","19","CB","14","2","2","0","0","0","1"
"","183583","","429511","","Amare Sanders","NEBRASKA","14","CB","30","2","1","0","0","0","0"
"","183588","","429522","","Larry Tarver Jr.","NEBRASKA","18","CB","19","2","1","0","0","0","0"
"","183610","","428524","","Jon Mitchell","GA TECH","29","CB","88","5","7","1","0","0","1"
"","183631","","431768","","Marcelles Williams","USC","25","CB","398","8","35","5","1","1","37"
"","183634","","429706","","Rahshawn Clark","WASHINGTON","02","CB","194","7","10","0","2","1","18"
"","183650","","449271","","Omillio Agard","WISCONSIN","06","CB","260","7","18","5","2","1","24"
"","183655","","453356","","Raphael Dunn","WISCONSIN","27","CB","10","2","0","0","0","0","1"
"","183666","","428646","","Xavier Lucas","MIAMI FL","06","CB","310","8","21","4","0","1","25"
"","183701","","449034","","Miles Lockhart","OHIO STATE","13","CB","3","2","0","0","0","0","0"
"","183709","","428689","","Aaron Scott Jr.","OHIO STATE","05","CB","70","5","3","0","1","0","6"
"","183712","","431885","","Bryce West","OHIO STATE","12","CB","43","5","4","1","0","0","1"
"","183716","","441709","","Smiley Bradford","PURDUE","01","CB","302","9","27","5","5","1","22"
"","183732","","443971","","Johno Price","ARIZONA","21","CB","59","4","4","0","2","0","4"
"","183737","","429579","","Rodney Bimage Jr.","ARIZONA ST","00","CB","172","8","11","2","1","0","13"
