"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","CTGT"
"","156243","","391377","","TJ Dottery","OLE MISS","06","LB","670","11","62","3","11","37"
"","156273","","385540","","AJ Cottrill","FLORIDA ST","41","LB","98","8","16","1","2","1"
"","156275","","385536","","Omar Graham Jr.","FLORIDA ST","09","LB","258","10","34","0","6","13"
"","156306","","393644","","Kyle Efford","GA TECH","44","LB","438","10","73","0","14","22"
"","156341","","385917","","Wesley Bissainthe","MIAMI FL","31","LB","330","10","36","1","10","25"
"","156405","","398983","","Kaiden Turner","INDIANA","14","LB","46","7","7","0","5","3"
"","156409","","398981","","Isaiah Jones","INDIANA","46","LB","420","11","52","9","9","35"
"","156434","","429652","","Landyn Van Kekerix","IOWA","23","LB","31","8","2","0","0","3"
"","156435","","412552","","Jayden Montgomery","IOWA","36","LB","286","8","35","1","6","7"
"","156454","","391387","","Caleb Wheatland","AUBURN","43","LB","5","2","0","0","0","0"
"","156458","","385722","","Ernest Hausmann","MICHIGAN","15","LB","495","10","75","4","7","37"
"","156486","","393506","","Gabe Powers","KANSAS ST","35","LB","164","9","15","0","1","8"
"","156507","","406867","","Moses Walker","RUTGERS","02","LB","137","4","15","2","0","2"
"","156725","","386843","","Aiden Fisher","INDIANA","04","LB","482","10","68","3","10","24"
"","156889","","391588","","Bryan McCoy Jr.","OKLA STATE","05","LB","548","10","71","1","11","21"
"","156945","","385550","","Keyshaun Elliott","ARIZONA ST","44","LB","520","10","86","7","15","28"
"","156972","","399715","","Jaylen Sneed","NOTRE DAME","03","LB","234","10","36","2","4","9"
"","157005","","393239","","Jeremiah Alexander","CLEMSON","35","LB","141","9","25","1","2","7"
"","157006","","393249","","Shawn Murphy","S CAROLINA","07","LB","335","10","34","1","6","17"
"","157027","","393327","","Mani Powell","PURDUE","16","LB","693","11","98","4","24","28"
"","157032","","386636","","Jordan Crook","ARIZONA ST","08","LB","507","10","88","5","13","22"
"","157047","","394654","","Robert Woodyard Jr.","AUBURN","00","LB","361","10","64","6","5","15"
